"ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","Morning.Feel"
94,490,16,6,129,283,79,2,1470,3
93,482,33,6,150,258,75,3,1460,3
61,325,41,26,121,143,61,8,1655,2
112,613,17,7,176,359,79,6,1475,2
107,571,33,15,207,288,76,6,1510,3
101,550,25,9,200,285,65,7,1480,4
114,626,18,10,218,338,71,8,1480,3
91,493,26,10,149,281,63,4,1520,2
90,518,33,16,160,310,48,7,1475,1
98,527,32,13,174,280,74,7,1500,3
93,504,21,8,146,289,70,5,1475,3
87,458,34,1,137,258,63,2,1490,3
98,517,16,15,164,266,88,7,1470,3
81,471,29,20,136,286,49,8,1520,2
110,607,17,17,197,329,82,10,1470,4
93,521,36,24,169,283,69,9,1490,2
75,376,21,19,131,171,74,4,1495,3
99,541,29,16,169,298,75,7,1470,3
88,481,26,10,148,267,66,7,1495,3
92,514,16,11,151,311,53,4,1450,3
83,457,21,17,146,256,55,4,1510,4
94,512,19,24,161,272,80,9,1485,3
122,637,5,4,197,351,90,2,1330,3
90,476,32,25,168,237,71,5,1520,3
98,535,13,10,165,299,72,6,1480,NA
65,350,15,8,91,209,51,3,1555,3
50,262,15,1,53,164,46,1,1385,NA
100,565,11,21,181,324,61,8,1475,4
103,557,18,22,193,289,76,8,1455,3
94,520,30,16,180,275,65,8,1480,2
99,537,20,12,186,281,70,7,1465,2
86,489,34,20,154,279,57,8,1475,2
96,511,12,22,196,240,76,8,1515,2
106,583,24,14,181,327,76,8,1440,3
74,392,26,39,132,194,66,4,1470,3
113,599,15,14,200,314,85,6,1440,3
96,524,26,29,186,268,70,8,1480,4
102,564,23,8,199,316,50,4,1480,3
82,428,24,5,108,247,73,3,1520,2
107,595,27,15,188,341,67,7,1430,3
103,585,30,17,183,339,64,10,1465,2
87,510,43,13,156,299,55,12,1470,3
94,518,40,42,175,261,83,11,1515,3
86,522,19,50,164,302,57,14,1490,1
85,479,32,39,135,275,70,8,1490,3
95,534,28,15,167,302,65,10,1470,4
107,581,37,20,217,292,73,8,1460,3
90,525,36,18,149,328,48,6,1475,3
109,603,19,33,214,315,74,9,1505,4
106,584,25,27,208,306,70,8,1500,4
94,578,30,45,196,343,40,13,1465,4
85,507,31,60,160,297,51,9,1530,2
105,593,22,23,206,324,64,9,1480,3
103,539,30,10,192,270,77,4,1530,2
91,528,22,50,149,313,66,9,1425,1
116,625,20,6,223,334,69,5,1505,4
102,590,33,25,198,331,62,13,1480,2
95,533,26,22,180,283,70,11,1480,4
97,549,33,28,189,291,70,12,1510,3
81,464,42,31,139,267,58,9,1525,2
79,471,31,61,143,273,56,9,1520,3
102,561,23,18,196,296,70,8,1485,3
98,548,25,15,172,310,66,9,1475,3
94,509,25,6,150,296,63,2,1520,3
77,450,19,36,149,246,55,11,1535,2
101,583,18,24,186,336,62,11,1410,3
83,463,21,31,145,251,68,9,1485,4
87,515,28,52,153,299,63,11,1455,2
96,553,41,26,196,304,54,11,1440,2
75,418,30,10,122,245,51,5,1475,2
89,545,21,78,158,317,70,15,1470,2
92,533,32,36,157,306,70,13,1435,3
89,504,16,45,177,263,65,10,1480,4
90,505,19,31,170,273,63,8,1495,3
98,539,15,37,176,271,92,13,1540,4
92,528,34,43,168,296,65,10,1490,2
79,459,47,53,133,256,70,12,1480,2
95,523,23,21,192,264,68,10,1465,3
113,608,13,10,190,336,83,7,1460,4
73,438,44,35,141,254,44,11,1500,2
89,484,27,36,159,247,79,9,1500,3
106,566,24,34,208,265,94,11,1485,3
86,492,20,17,152,286,55,8,1505,3
93,500,19,27,186,239,75,9,1510,2
92,516,13,25,178,273,66,11,1505,2
96,563,28,26,164,337,62,12,1480,2
90,503,29,21,173,267,64,9,1480,3
89,505,15,19,173,271,61,11,1525,2
90,527,37,29,190,288,49,11,1505,2
96,559,22,26,162,334,63,11,1475,2
98,602,21,58,217,331,55,18,1475,4
101,584,51,51,198,320,67,12,1485,3
91,520,16,43,156,292,72,11,1500,3
85,489,40,52,169,254,67,11,1515,3
91,497,43,14,172,265,60,6,1480,2
80,476,26,32,140,287,50,10,1465,2
92,522,82,25,190,285,48,6,1445,1
84,462,81,7,145,258,60,6,1490,2
85,469,43,42,147,256,67,6,1495,4
90,504,14,13,144,299,61,6,1475,3
112,607,20,17,198,331,79,7,1470,3
91,537,22,28,185,298,55,13,1480,3
98,551,31,24,184,297,71,11,1455,3
96,524,25,18,189,273,63,7,1490,3
95,524,29,16,167,285,73,9,1465,2
87,508,36,45,168,285,56,9,1460,2
87,496,20,27,141,297,58,6,1455,2
87,498,29,30,142,300,56,6,1465,3
86,465,42,10,165,240,60,6,1470,3
84,474,37,28,135,277,63,7,1475,3
106,584,15,24,181,325,79,8,1475,3
91,523,24,41,161,299,64,9,1505,1
84,487,27,78,151,270,66,7,1525,1
88,482,40,17,162,261,59,6,1490,2
104,587,14,16,185,341,62,7,1500,3
94,522,15,19,160,300,63,6,1495,3
110,601,16,11,202,333,66,5,1475,4
84,466,32,1,147,280,40,2,1495,3
108,591,23,22,178,332,81,7,1490,3
92,521,28,40,175,291,55,5,1475,3
105,581,11,15,181,328,72,8,1450,4
93,526,27,19,158,308,61,7,1505,3
85,486,43,10,173,271,43,7,1475,4
104,558,33,11,183,290,86,9,1460,3
83,472,43,19,136,287,49,4,1465,3
97,534,25,24,166,297,72,6,1460,3
89,502,19,17,144,304,54,5,1465,3
89,495,21,31,157,277,61,5,1465,3
100,560,13,14,199,305,56,8,1450,3
97,538,20,16,173,292,74,10,1485,3
89,496,30,21,154,293,49,2,1470,2
81,438,33,4,134,250,55,3,1460,2
82,464,35,34,153,263,49,5,1475,2
78,444,35,27,139,259,47,4,1535,2
102,552,20,13,189,296,68,6,1470,3
97,530,26,7,176,299,55,4,1485,2
93,522,28,5,167,314,42,2,1480,3
107,586,9,5,194,334,59,3,1475,3
99,561,5,24,217,305,39,5,1535,2
109,628,49,44,216,350,63,10,1455,1
108,583,6,6,202,311,71,6,1525,3
103,578,24,20,190,328,60,6,1455,3
91,514,44,21,178,289,48,6,1490,2
110,615,32,11,195,361,60,4,1415,3
93,545,15,11,174,336,36,6,1420,3
102,590,2,9,191,356,44,6,1405,3
94,543,21,28,199,293,52,10,1425,3
99,544,21,10,172,310,62,5,1405,2
92,509,21,8,177,282,50,4,1425,3
109,601,1,9,205,339,57,4,1390,4
100,526,40,11,196,263,67,4,1450,4
91,513,3,14,186,283,44,5,1420,2
102,568,2,8,195,325,49,3,1400,3
89,495,2,13,147,290,58,5,1450,3
98,534,3,4,172,305,58,4,1400,4
77,425,1,2,135,252,39,1,1425,4
85,503,15,21,162,304,37,7,1410,2
93,507,5,4,175,281,52,3,1425,4
94,523,1,13,164,301,58,5,1460,4
86,492,3,10,141,308,44,4,1415,4
101,551,1,2,212,293,47,4,1400,3
100,537,2,3,195,286,56,2,1385,3
103,554,1,11,183,304,67,4,1400,3
42,232,3,2,63,145,25,1,1465,1
102,537,2,3,152,309,76,2,1375,3
83,458,17,10,143,264,52,4,1440,3
106,561,20,9,189,299,73,2,1420,2
78,427,22,9,113,254,60,4,1405,3
95,522,23,36,150,299,74,5,1395,3
96,510,23,10,189,257,65,4,1390,4
100,530,34,15,202,252,76,7,1430,4
99,520,23,16,179,264,78,5,1410,3
63,390,56,161,171,166,54,7,1445,1
100,561,10,8,168,338,55,5,1460,4
102,559,33,10,188,308,63,6,1465,4
104,587,22,20,191,331,66,9,1430,4
93,513,21,74,178,267,68,3,1390,3
100,568,24,24,192,326,51,6,1390,3
97,555,34,19,194,310,51,8,1415,3
106,573,22,17,206,291,76,8,1415,2
84,452,100,14,176,214,63,8,1435,1
100,569,39,54,205,294,70,11,1395,2
111,621,29,16,208,353,60,6,1425,2
68,383,28,37,114,223,46,2,1435,3
79,447,20,21,114,276,58,6,1420,3
83,459,28,11,157,255,47,4,1450,3
93,529,17,43,169,297,64,7,1425,2
105,594,27,30,190,330,74,11,1440,4
89,485,67,13,173,255,57,6,1450,3
93,504,31,23,174,263,67,6,1440,2
100,556,25,21,184,308,65,7,1445,4
76,445,39,57,155,238,52,8,1455,3
93,547,17,16,180,329,38,8,1415,3
77,413,27,5,121,231,62,4,1415,4
91,506,23,10,176,279,51,6,1445,4
79,425,42,55,180,175,71,9,1445,1
94,499,6,21,198,238,63,5,1440,2
79,394,35,1,136,189,70,2,1495,3
69,381,28,35,102,222,58,4,1430,2
73,424,30,20,145,249,30,3,1475,3
102,557,18,6,166,326,65,3,1420,4
101,526,23,4,187,269,70,3,1425,2
78,439,15,19,137,247,56,7,1430,3
97,537,20,15,173,302,62,6,1420,4
89,509,28,51,194,266,50,7,1410,2
108,588,21,22,219,291,78,10,1385,4
86,496,26,24,172,276,48,8,1475,2
96,535,18,20,183,286,67,9,1420,3
90,488,36,25,158,267,64,3,1410,3
107,572,19,10,204,292,77,7,1425,2
92,514,32,8,144,311,60,6,1395,3
78,435,30,19,134,248,53,5,1325,2
104,566,13,25,223,267,76,12,1405,3
87,490,20,24,179,260,52,8,1430,3
98,532,13,16,175,281,76,9,1415,3
81,446,36,43,159,224,64,6,1440,2
94,482,21,7,170,233,79,5,1430,3
86,499,39,31,170,278,52,10,1435,2
91,512,29,47,167,291,54,3,1415,2
106,562,21,18,161,304,98,8,1420,3
101,550,51,16,195,292,63,6,1415,4
60,353,14,20,85,226,43,6,1410,2
53,279,33,5,83,142,54,6,1400,0
92,510,18,32,185,259,66,9,1435,3
106,559,14,8,175,304,80,4,1420,2
110,599,31,28,224,305,71,7,1335,2
4,112,44,276,16,59,38,3,1365,1
106,574,12,25,186,303,86,9,1420,3
100,516,39,11,183,254,79,4,1435,3
109,573,23,21,204,277,93,8,1405,4
108,568,22,18,172,301,95,6,1415,4
103,564,22,30,173,312,80,7,1460,3
89,502,22,19,167,286,49,5,1430,2
84,497,40,33,139,300,59,11,1425,3
96,532,42,31,152,313,68,3,1420,2
101,554,39,11,187,298,70,8,1405,3
78,431,35,16,136,238,57,7,1515,3
99,543,38,17,183,294,67,6,1475,2
96,546,71,30,176,308,63,9,1405,1
97,544,18,37,185,290,70,9,1405,2
106,573,48,15,192,302,79,7,1420,3
89,499,61,33,145,290,64,6,1415,3
93,539,51,42,146,323,70,10,1415,1
85,460,31,6,143,257,61,5,1470,0
83,479,14,33,128,283,68,11,1435,3
98,564,24,41,168,324,73,12,1425,3
87,503,34,95,142,283,78,7,1425,2
90,510,28,22,176,273,62,11,1435,3
91,511,27,17,163,296,52,5,1405,2
86,496,24,24,143,302,51,6,1415,3
88,515,19,44,164,295,56,9,1430,3
93,531,28,46,171,296,65,8,1405,3
91,519,29,32,151,298,70,10,1410,2
104,573,7,9,167,339,68,5,1415,3
89,494,27,18,145,283,66,7,1420,3
95,544,22,34,193,290,62,11,1420,2
96,530,18,28,187,277,67,8,1405,2
88,512,17,43,145,306,61,8,1425,3
99,567,19,23,191,313,64,11,1385,2
91,508,37,19,144,296,68,8,1395,3
88,492,17,34,151,272,69,8,1470,2
92,505,17,7,181,266,59,7,1430,3
89,513,8,9,152,317,45,5,1420,3
79,434,12,3,118,265,52,2,1430,3
62,350,1,15,155,166,30,6,1645,0
92,531,20,29,167,306,58,9,1400,2
89,512,18,38,158,299,55,6,1400,3
87,516,22,41,147,315,54,9,1410,2
96,539,22,22,161,315,63,7,1445,2
91,505,18,31,183,262,61,8,1465,2
100,556,28,18,186,304,66,9,1425,2
101,566,18,22,191,307,68,10,1450,2
89,486,35,9,156,276,55,3,1435,3
85,474,10,20,139,277,58,4,1455,3
95,533,30,23,175,291,67,9,1405,3
96,539,20,15,154,320,65,6,1415,2
88,504,26,27,149,294,62,9,1405,3
92,529,21,23,172,303,55,9,1435,2
105,583,16,12,203,318,62,8,1420,3
95,533,23,17,186,289,59,8,1455,3
78,447,13,19,129,265,53,7,1490,2
75,450,16,18,99,307,44,6,1350,2
87,491,24,12,130,302,59,6,1320,3
97,535,16,23,205,269,62,9,1395,4
91,510,8,23,161,288,62,7,1445,3
97,530,18,19,177,287,66,6,1430,3
106,575,20,8,182,324,70,5,1375,3
90,479,20,16,141,268,70,3,1410,2
101,566,21,12,172,332,62,6,1410,3
89,466,7,9,126,256,85,6,1455,3
96,536,11,20,172,298,66,9,1380,3
90,474,16,11,176,228,70,6,1490,3
97,526,17,20,201,255,71,10,1440,4
94,536,22,37,163,301,73,11,1445,2
93,543,24,35,149,324,71,12,1420,3
94,522,28,24,171,286,66,7,1440,3
87,503,18,41,129,300,74,10,1460,2
86,499,19,34,158,271,70,14,1445,3
75,425,30,54,125,243,58,5,1465,1
77,389,12,12,118,193,79,5,1440,3
92,495,16,13,174,255,66,6,1430,2
110,563,6,10,187,280,96,4,1390,3
97,508,26,5,176,262,70,4,1430,3
110,589,5,7,195,317,77,6,1435,3
87,490,17,42,161,266,63,8,1475,2
109,612,16,15,187,357,69,8,1400,2
68,410,37,29,121,249,41,9,1450,3
119,640,14,9,220,345,76,5,1355,3
84,465,33,5,152,261,52,6,1435,3
100,563,12,14,184,319,60,8,1440,3
97,539,11,8,184,305,51,5,1445,3
102,569,16,21,219,289,62,10,1415,2
102,572,15,16,163,347,62,5,1400,2
103,584,5,19,193,319,72,13,1410,3
98,535,17,10,161,311,63,3,1410,4
36,175,25,1,33,96,47,1,1390,0
96,526,26,11,187,293,46,2,1400,3
96,536,12,28,195,279,63,9,1400,3
89,491,15,17,184,247,60,9,1455,3
97,535,6,14,165,305,65,5,1395,2
97,523,13,8,159,296,68,4,1410,3
100,540,20,9,189,289,63,4,1420,4
98,547,20,18,149,327,71,6,1385,2
94,521,9,17,182,281,59,6,1405,3
101,550,16,22,179,297,75,6,1370,3
102,547,3,16,189,291,68,3,1400,3
94,509,10,17,188,258,64,7,1415,3
89,476,19,18,157,258,62,2,1410,3
104,555,4,8,187,298,71,3,1400,4
100,537,20,14,160,303,75,4,1405,2
88,490,13,27,150,278,62,6,1395,3
106,579,11,22,210,297,73,8,1395,3
104,589,14,18,195,335,59,7,1390,2
93,511,20,5,174,290,47,3,1395,3
99,540,17,25,195,281,65,6,1390,2
113,593,2,10,235,285,73,4,1360,3
91,508,19,23,197,257,55,9,1410,4
96,541,9,13,167,311,64,9,1400,4
93,514,22,13,172,285,57,5,1395,3
68,360,27,13,121,191,49,1,1490,3
61,354,53,38,98,207,49,6,1400,1
94,490,2,6,146,267,77,2,1410,3
95,504,7,4,143,289,72,2,1390,4
97,519,2,13,177,275,68,4,1440,3
122,664,3,5,177,411,76,1,1375,3
104,557,12,4,175,314,68,2,1400,4
103,574,31,37,200,305,70,9,1345,3
100,547,21,16,175,308,65,4,1375,3
96,551,24,33,178,315,59,9,1395,4
92,503,31,14,162,279,63,6,1445,2
111,596,21,11,216,316,64,3,1395,2
88,490,35,24,150,272,68,9,1405,3
90,517,34,32,182,273,63,13,1405,1
86,479,30,31,159,258,63,7,1390,2
85,479,4,32,134,290,55,4,1415,4
107,554,16,7,181,293,81,2,1395,4
96,529,27,7,172,302,56,4,1385,3
104,582,18,12,174,347,62,6,1410,3
97,529,20,9,175,290,65,6,1400,3
90,508,25,54,184,262,62,7,1380,2
92,510,16,27,165,272,74,9,1475,3
65,362,11,16,64,241,58,4,1410,0
98,545,25,13,135,345,65,3,1390,3
94,524,15,29,172,288,64,6,1395,4
93,525,5,20,171,299,56,7,1405,3
68,383,35,68,122,194,67,7,1420,2
109,586,12,21,195,315,77,5,1390,4
88,493,22,22,177,259,57,9,1400,2
99,550,2,25,205,283,63,8,1380,3
81,424,16,65,129,209,87,3,1335,0
88,479,18,28,155,258,67,6,1320,3
84,472,15,19,160,261,52,7,1345,3
95,508,16,17,153,280,75,4,1315,3
80,460,22,60,172,238,50,7,1325,2
105,548,10,8,182,293,74,2,1315,4
84,488,40,18,129,306,54,7,1315,2
102,541,12,20,202,265,75,5,1305,3
85,487,44,34,156,286,46,5,1330,3
105,579,5,13,162,345,72,5,1325,2
94,533,16,29,180,297,56,7,1335,3
92,504,12,27,146,281,78,7,1370,3
105,552,17,4,192,284,77,4,1335,3
94,544,17,33,149,330,65,8,1330,3
101,554,39,20,162,317,76,6,1310,3
82,466,18,38,136,268,62,7,1360,3
109,604,2,25,215,325,65,7,1330,4
94,508,12,13,178,273,58,4,1345,3
88,495,24,29,171,253,71,12,1355,4
104,569,10,28,209,295,65,6,1320,3
97,548,2,46,165,321,63,4,1305,3
85,488,33,18,140,297,52,7,1340,3
109,577,10,16,180,314,83,4,1340,4
105,582,23,34,205,301,77,11,1320,3
88,477,30,20,130,273,75,6,1345,3
99,537,20,6,174,303,61,4,1325,3
87,500,2,31,177,270,53,9,1320,2
94,523,37,20,180,283,60,7,1295,3
86,481,15,24,151,265,66,9,1330,3
94,538,13,46,169,310,60,7,1320,3
97,543,15,36,166,299,78,10,1320,2
86,456,11,47,167,218,72,4,1355,2
102,528,11,4,187,268,74,2,1355,3
83,466,10,27,122,279,65,6,1350,3
101,558,3,12,178,322,59,4,1350,4
107,564,13,1,180,312,73,1,1325,3
93,515,3,11,165,295,55,5,1340,4
105,586,31,24,223,305,58,7,1320,2
91,512,21,21,138,304,70,8,1345,3
102,589,1,34,197,332,60,9,1325,3
96,537,15,14,154,323,60,5,1335,3
91,490,26,29,167,240,83,10,1370,3
88,501,22,21,135,307,60,7,1335,3
111,620,1,17,179,368,73,7,1330,2
80,499,11,50,150,312,37,10,1340,3
98,530,3,7,168,292,70,5,1350,2
100,540,6,7,181,292,67,5,1345,3
94,524,15,18,168,299,58,6,1360,3
85,471,1,7,128,284,59,4,1390,3
84,465,31,21,119,283,64,5,1380,3
109,581,3,6,164,341,77,2,1320,3
85,457,1,10,129,263,66,4,1320,3
104,567,2,7,152,343,72,4,1260,3
100,560,1,11,175,332,54,5,1295,3
103,552,1,2,156,326,71,2,1340,4
89,496,19,27,186,255,56,7,1325,4
90,498,15,9,137,302,60,4,1370,3
83,474,19,25,128,284,62,8,1370,3
99,523,18,13,166,281,76,3,1340,3
63,337,16,9,110,187,41,1,1325,0
93,512,8,28,192,261,60,6,1375,4
97,540,1,13,177,307,57,5,1325,3
87,477,17,15,142,276,59,4,1295,2
72,391,6,27,89,234,68,3,1330,2
86,472,29,41,163,247,62,4,1355,3
91,513,21,20,150,305,58,5,1340,3
101,527,2,13,168,278,81,3,1325,3
104,571,15,12,197,311,64,6,1320,2
111,589,16,26,200,303,86,6,1310,3
91,506,12,24,187,260,59,8,1350,3
89,486,32,30,145,273,69,4,1320,4
99,558,19,16,159,339,61,6,1315,1
108,604,9,12,176,362,66,6,1310,3
118,625,19,5,220,332,73,3,1280,2
93,527,2,18,154,323,50,4,1300,3
84,496,31,40,171,274,52,12,1295,1
88,492,1,18,158,285,50,4,1325,3
97,512,2,9,165,276,71,3,1325,4
113,600,2,13,216,309,75,4,1315,2
91,530,1,19,165,324,42,6,1330,2
89,498,5,8,135,308,55,4,1330,3
100,541,18,17,172,304,65,2,1305,2
102,542,14,17,171,295,76,4,1320,3
102,536,13,4,175,285,76,3,1310,3
107,590,2,13,214,321,56,4,1315,4
105,594,2,25,182,341,71,10,1325,3
98,550,1,10,196,301,54,7,1370,3
101,552,6,5,150,336,67,2,1320,3
101,549,7,8,166,312,72,5,1315,3
100,558,15,6,190,314,54,6,1340,2
96,543,2,32,161,320,62,5,1340,2
99,549,2,32,157,323,70,5,1340,1
93,513,2,13,139,311,64,3,1320,1
70,400,58,27,103,235,63,9,1350,2
93,570,5,43,129,390,52,9,1340,2
103,556,2,20,212,277,68,6,1415,3
101,571,25,27,180,322,70,9,1340,3
96,548,68,4,165,343,40,2,1350,2
112,612,13,7,199,348,66,4,1335,3
100,581,13,25,187,349,46,7,1340,3
100,576,19,27,170,345,62,8,1335,2
112,588,17,10,200,309,80,3,1320,3
112,613,1,5,228,334,52,2,1330,4
96,545,2,20,166,330,49,4,1400,2
100,562,2,51,191,314,58,4,1355,3
106,586,16,4,154,365,68,3,1325,3
98,541,23,33,189,293,60,5,1345,3
106,570,13,5,154,343,74,2,1325,2
101,557,1,20,189,305,63,6,1345,2
96,534,1,11,190,298,47,4,1360,3
104,574,26,18,189,316,70,8,1320,3
91,506,11,31,168,281,58,5,1345,2
99,565,12,28,202,313,50,6,1330,2
91,507,11,19,160,287,60,6,1345,3
98,556,7,14,175,329,52,6,1330,3
105,578,16,19,153,344,82,6,1320,2
94,513,18,18,175,279,60,5,1370,2
99,549,25,18,172,310,67,7,1340,2
88,487,21,15,157,276,54,5,1325,2
94,534,1,14,135,344,55,3,1370,3
76,451,9,32,174,247,30,7,1435,2
86,487,3,24,162,282,44,4,1385,3
96,551,7,35,183,308,61,9,1310,3
99,553,2,19,165,330,59,3,1315,3
99,538,27,28,172,294,73,6,1335,3
89,506,1,39,173,277,57,7,1355,3
107,579,30,9,203,314,63,3,1340,2
98,540,17,20,185,292,64,6,1380,2
89,485,1,21,159,262,65,5,1450,2
102,586,51,20,182,354,50,6,1335,2
82,472,1,11,173,271,29,5,1505,2
108,616,15,16,219,345,53,9,1375,3
96,544,12,5,159,335,50,5,1345,3
93,542,1,21,167,335,41,5,1440,2
84,502,90,88,180,275,48,7,1360,1
115,635,2,25,197,360,79,6,1350,3
96,544,29,15,186,304,54,8,1410,2
105,576,6,29,176,320,80,7,1410,2
100,579,1,23,206,329,44,8,1390,2
98,584,1,27,186,352,46,10,1380,3
106,597,10,14,189,349,60,7,1380,2
87,517,2,19,170,312,35,7,1410,3
98,567,1,14,153,366,49,5,1305,3
98,580,2,23,177,363,41,7,1370,3
80,497,14,33,145,319,33,9,1405,3
101,549,1,10,182,306,61,4,1325,3
103,591,1,18,178,356,57,7,1325,3
75,439,1,6,143,271,26,4,1435,4
105,595,1,7,194,356,46,4,1320,3
100,576,1,25,167,346,64,10,1325,3
94,533,2,23,160,325,49,3,1335,3
100,566,1,24,189,322,55,6,1335,3
97,544,1,18,158,332,54,3,1360,2
79,456,2,31,181,254,21,2,1500,3
98,536,7,17,167,302,68,5,1455,2
68,458,2,168,95,309,55,5,1365,1
107,610,1,12,198,356,56,7,1400,3
54,348,48,93,59,244,46,4,1370,1
111,614,2,24,209,338,68,6,1395,3
41,281,1,142,53,188,40,1,1380,2
115,613,1,18,194,334,85,4,1390,3
100,586,2,26,164,369,53,7,1365,3
113,632,5,8,209,366,57,5,1395,4
96,548,10,14,156,335,57,6,1440,3
102,578,2,26,177,353,49,2,1385,1
100,574,13,7,157,365,53,5,1405,3
89,519,2,10,153,321,46,7,1400,3
95,550,5,28,161,337,53,6,1355,3
84,480,1,22,157,287,37,3,1450,3
99,557,4,27,178,322,58,6,1370,3
90,524,30,50,174,295,56,9,1360,2
97,559,1,12,152,361,46,4,1395,2
99,540,5,17,166,304,71,5,1385,3
109,605,6,20,228,317,60,8,1345,3
106,578,6,9,180,331,68,5,1395,4
100,567,1,4,187,341,40,3,1485,3
94,575,1,25,196,351,29,10,1425,3
99,577,1,12,192,351,35,5,1400,3
104,601,2,13,193,365,44,5,1370,3
92,546,25,38,159,332,55,9,1390,2
102,597,19,35,159,380,58,6,1365,2
91,544,1,25,162,338,44,9,1395,3
81,488,25,40,125,312,52,10,1400,4
75,408,49,30,94,244,71,5,1375,3
78,493,2,73,138,313,43,10,1390,3
99,574,14,7,156,376,42,4,1365,3
104,565,21,3,205,307,53,3,1400,4
90,518,31,35,185,278,55,10,1395,3
102,557,40,28,197,289,71,7,1370,3
91,490,18,29,161,250,79,8,1440,2
111,600,32,12,197,324,79,6,1370,3
96,528,37,22,188,273,68,8,1375,2
104,609,27,39,210,336,63,13,1355,2
119,634,35,24,231,315,88,8,1370,3
99,563,25,63,201,297,66,7,1380,2
117,640,33,11,249,320,71,9,1390,3
115,629,30,16,242,327,61,6,1365,3
103,577,21,11,183,336,58,5,1385,3
118,633,17,3,205,352,76,4,1365,2
99,552,37,23,210,277,65,11,1450,3
97,533,42,32,171,288,75,8,1365,3
91,520,23,76,179,280,62,6,1375,1
107,592,26,19,183,341,69,6,1350,2
103,544,18,9,172,298,75,3,1360,4
89,503,23,30,167,273,63,10,1390,2
95,528,14,6,173,304,51,5,1390,3
78,432,18,61,144,221,67,6,1365,2
100,545,14,18,212,270,64,8,1370,3
104,597,38,22,185,361,52,5,1360,2
87,487,33,17,163,274,51,6,1405,2
91,508,16,30,175,263,70,10,1385,3
107,578,12,39,192,307,79,4,1360,3
92,509,19,59,182,260,68,6,1380,2
94,516,17,50,172,268,76,6,1375,3
99,536,20,8,177,292,67,5,1385,2
88,501,27,71,193,254,54,6,1380,2
97,566,10,20,168,339,59,11,1365,3
96,543,42,16,185,304,54,8,1390,2
56,302,37,6,56,198,48,1,1380,0
84,488,40,47,176,263,50,9,1385,3
110,613,17,21,195,350,68,7,1375,3
87,494,35,10,154,287,53,7,1380,2
112,612,16,18,225,317,70,8,1385,3
108,594,33,25,170,346,79,6,1380,3
94,570,16,54,186,339,46,10,1405,2
86,507,42,49,175,288,45,7,1420,2
102,564,17,19,175,316,74,8,1365,2
96,549,25,15,146,347,56,5,1380,2
103,586,24,26,202,327,58,9,1375,3
92,525,21,34,177,289,59,8,1370,3
103,570,16,24,193,315,63,5,1375,2
107,611,16,26,182,351,78,13,1380,3
87,488,26,11,129,295,65,7,1360,3
60,329,29,7,128,163,38,5,1395,0
98,547,15,14,175,307,65,8,1395,3
97,525,15,11,146,303,76,5,1385,3
24,147,5,10,68,75,5,3,1160,0
